%time,field.header.seq,field.header.stamp,field.header.frame_id,field.positioning_dim,field.latitude,field.longitude,field.height,field.latitude_error,field.longitude_error,field.height_error,field.gps_connection_status,field.antena_status_open,field.antena_status_short
1634523349245857551,6890,1634523349245611125,gps_m2/gps,3,35.0210342,137.1472018,42.7010002136,0.627009987831,0.555745244026,1.31034886837,2,1,1
1634523350244886744,6891,1634523350244364221,gps_m2/gps,3,35.0211613,137.1474363,42.6629981995,0.627854406834,0.55495685339,1.31264042854,2,1,1
1634523351245133832,6892,1634523351245041766,gps_m2/gps,3,35.0212905,137.1476691,42.65599823,0.627164542675,0.55388969183,1.31317424774,2,1,1
1634523352246538290,6893,1634523352244279248,gps_m2/gps,3,35.0214177,137.1478999,42.3190002441,0.634168446064,0.55847132206,1.32252943516,2,1,1
1634523353245601542,6894,1634523353245500938,gps_m2/gps,3,35.0215488,137.1481264,42.5260009766,0.647550284863,0.57215577364,1.35111546516,2,1,1
1634523354245401491,6895,1634523354245279410,gps_m2/gps,3,35.0216812,137.1483545,42.5219993591,0.6550963521,0.580350339413,1.35723376274,2,1,1
1634523355244744895,6896,1634523355244275344,gps_m2/gps,3,35.0218167,137.1485824,42.4300003052,0.656709849834,0.581296563148,1.3595058918,2,1,1
1634523356244485235,6897,1634523356244374275,gps_m2/gps,3,35.0219544,137.148809,42.2280006409,0.656620621681,0.581878781319,1.35873913765,2,1,1
1634523357244708788,6898,1634523357244611054,gps_m2/gps,3,35.0220931,137.1490348,41.9440002441,0.654993414879,0.58158326149,1.35581552982,2,1,1
1634523358244419992,6899,1634523358244318836,gps_m2/gps,3,35.0222329,137.1492601,41.7649993896,0.652458071709,0.579354286194,1.35270094872,2,1,1
1634523359244331121,6900,1634523359244190166,gps_m2/gps,3,35.0223748,137.1494831,41.6759986877,0.650152981281,0.577295303345,1.34924077988,2,1,1
1634523360246003366,6901,1634523360244511409,gps_m2/gps,3,35.0225179,137.1497048,41.5670013428,0.649078667164,0.577031433582,1.34809410572,2,1,1
1634523361244596976,6902,1634523361244491634,gps_m2/gps,3,35.0226615,137.1499257,41.4510002136,0.64845341444,0.576995611191,1.34643435478,2,1,1
1634523362244403257,6903,1634523362244237987,gps_m2/gps,3,35.0228043,137.1501465,41.2849998474,0.647203743458,0.576402485371,1.34337568283,2,1,1
1634523363245248832,6904,1634523363245130322,gps_m2/gps,3,35.0229461,137.1503674,41.1430015564,0.645198523998,0.575452208519,1.34035480022,2,1,1
1634523364244570364,6905,1634523364244469561,gps_m2/gps,3,35.0230878,137.1505881,41.1339988708,0.641614615917,0.572397351265,1.33487343788,2,1,1
1634523365244687972,6906,1634523365244543633,gps_m2/gps,3,35.0232291,137.1508091,41.03099823,0.636882662773,0.56872177124,1.32795596123,2,1,1
1634523366245260130,6907,1634523366245157581,gps_m2/gps,3,35.0233711,137.1510311,40.9840011597,0.63224452734,0.565054059029,1.32035291195,2,1,1
1634523367245359668,6908,1634523367245155385,gps_m2/gps,3,35.0235147,137.1512542,40.966999054,0.627974271774,0.561458528042,1.31305205822,2,1,1
1634523368250796403,6909,1634523368244479856,gps_m2/gps,3,35.0236587,137.1514798,40.9449996948,0.624200224876,0.558081924915,1.30615150928,2,1,1
